1568.27, 8.60349e-05
1568.21, 8.59301e-05
1568.15, 8.58254e-05
1568.09, 8.57208e-05
1568.03, 8.56162e-05
1567.97, 8.55116e-05
1567.9, 8.54072e-05
1567.84, 8.53028e-05
1567.78, 8.51985e-05
1567.72, 8.50942e-05
1567.66, 8.499e-05
1567.6, 8.48858e-05
1567.54, 8.47818e-05
1567.47, 8.46777e-05
1567.41, 8.45738e-05
1567.35, 8.44699e-05
1567.29, 8.43661e-05
1567.23, 8.42623e-05
1567.17, 8.41586e-05
1567.11, 8.4055e-05
1567.05, 8.39514e-05
1566.98, 8.38479e-05
1566.92, 8.37445e-05
1566.86, 8.36411e-05
1566.8, 8.35378e-05
1566.74, 8.34345e-05
1566.68, 8.33314e-05
1566.62, 8.32282e-05
1566.55, 8.31252e-05
1566.49, 8.30222e-05
1566.43, 8.29193e-05
1566.37, 8.28164e-05
1566.31, 8.27136e-05
1566.25, 8.26109e-05
1566.19, 8.25082e-05
1566.13, 8.24056e-05
1566.06, 8.2303e-05
1566, 8.22005e-05
1565.94, 8.20981e-05
1565.88, 8.19958e-05
1565.82, 8.18935e-05
1565.76, 8.17912e-05
1565.7, 8.16891e-05
1565.64, 8.1587e-05
1565.57, 8.14849e-05
1565.51, 8.1383e-05
1565.45, 8.12811e-05
1565.39, 8.11792e-05
1565.33, 8.10774e-05
1565.27, 8.09757e-05
1565.21, 8.08741e-05
1565.15, 8.07725e-05
1565.09, 8.0671e-05
1565.02, 8.05695e-05
1564.96, 8.04681e-05
1564.9, 8.03668e-05
1564.84, 8.02655e-05
1564.78, 8.01643e-05
1564.72, 8.00631e-05
1564.66, 7.99621e-05
1564.6, 7.98611e-05
1564.54, 7.97601e-05
1564.47, 7.96592e-05
1564.41, 7.95584e-05
1564.35, 7.94576e-05
1564.29, 7.93569e-05
1564.23, 7.92563e-05
1564.17, 7.91557e-05
1564.11, 7.90552e-05
1564.05, 7.89548e-05
1563.99, 7.88544e-05
1563.92, 7.87541e-05
1563.86, 7.86539e-05
1563.8, 7.85537e-05
1563.74, 7.84536e-05
1563.68, 7.83535e-05
1563.62, 7.82535e-05
1563.56, 7.81536e-05
1563.5, 7.80779e-05
1563.44, 7.80468e-05
1563.37, 7.80158e-05
1563.31, 7.79848e-05
1563.25, 7.79538e-05
1563.19, 7.79228e-05
1563.13, 7.78918e-05
1563.07, 7.78608e-05
1563.01, 7.78299e-05
1562.95, 7.77989e-05
1562.89, 7.77679e-05
1562.83, 7.7737e-05
1562.76, 7.7706e-05
1562.7, 7.76751e-05
1562.64, 7.76441e-05
1562.58, 7.76132e-05
1562.52, 7.75823e-05
1562.46, 7.75514e-05
1562.4, 7.75204e-05
1562.34, 7.74895e-05
1562.28, 7.74586e-05
1562.22, 7.74277e-05
1562.15, 7.73969e-05
1562.09, 7.7366e-05
1562.03, 7.73351e-05
1561.97, 7.73042e-05
1561.91, 7.72734e-05
1561.85, 7.72425e-05
1561.79, 7.72116e-05
1561.73, 7.71808e-05
1561.67, 7.715e-05
1561.61, 7.71191e-05
1561.55, 7.70883e-05
1561.48, 7.70575e-05
1561.42, 7.70267e-05
1561.36, 7.69958e-05
1561.3, 7.6965e-05
1561.24, 7.69342e-05
1561.18, 7.69035e-05
1561.12, 7.68727e-05
1561.06, 7.68419e-05
1561, 7.68111e-05
1560.94, 7.67803e-05
1560.88, 7.67496e-05
1560.81, 7.67188e-05
1560.75, 7.66881e-05
1560.69, 7.66573e-05
1560.63, 7.66266e-05
1560.57, 7.65959e-05
1560.51, 7.65652e-05
1560.45, 7.65344e-05
1560.39, 7.65037e-05
1560.33, 7.6473e-05
1560.27, 7.64423e-05
1560.21, 7.64116e-05
1560.15, 7.63809e-05
1560.09, 7.63503e-05
1560.02, 7.63196e-05
1559.96, 7.62889e-05
1559.9, 7.62583e-05
1559.84, 7.62276e-05
1559.78, 7.6197e-05
1559.72, 7.61663e-05
1559.66, 7.61357e-05
1559.6, 7.6105e-05
1559.54, 7.60744e-05
1559.48, 7.60438e-05
1559.42, 7.60132e-05
1559.36, 7.59826e-05
1559.3, 7.5952e-05
1559.23, 7.59214e-05
1559.17, 7.58908e-05
1559.11, 7.58602e-05
1559.05, 7.58296e-05
1558.99, 7.57991e-05
1558.93, 7.57685e-05
1558.87, 7.5738e-05
1558.81, 7.57074e-05
1558.75, 7.56769e-05
1558.69, 7.56463e-05
1558.63, 7.56158e-05
1558.57, 7.55853e-05
1558.51, 7.55547e-05
1558.45, 7.55242e-05
1558.39, 7.5616e-05
1558.32, 7.5717e-05
1558.26, 7.58181e-05
1558.2, 7.59192e-05
1558.14, 7.60204e-05
1558.08, 7.61216e-05
1558.02, 7.6223e-05
1557.96, 7.63244e-05
1557.9, 7.64258e-05
1557.84, 7.65274e-05
1557.78, 7.6629e-05
1557.72, 7.67306e-05
1557.66, 7.68324e-05
1557.6, 7.69342e-05
1557.54, 7.7036e-05
1557.48, 7.7138e-05
1557.42, 7.724e-05
1557.35, 7.7342e-05
1557.29, 7.74442e-05
1557.23, 7.75464e-05
1557.17, 7.76486e-05
1557.11, 7.7751e-05
1557.05, 7.78534e-05
1556.99, 7.79559e-05
1556.93, 7.80584e-05
1556.87, 7.8161e-05
1556.81, 7.82637e-05
1556.75, 7.83664e-05
1556.69, 7.84692e-05
1556.63, 7.85721e-05
1556.57, 7.86751e-05
1556.51, 7.87781e-05
1556.45, 7.88811e-05
1556.39, 7.89843e-05
1556.33, 7.90875e-05
1556.27, 7.91908e-05
1556.2, 7.92941e-05
1556.14, 7.93976e-05
1556.08, 7.9501e-05
1556.02, 7.96046e-05
1555.96, 7.97082e-05
1555.9, 7.98119e-05
1555.84, 7.99156e-05
1555.78, 8.00195e-05
1555.72, 8.01234e-05
1555.66, 8.02273e-05
1555.6, 8.03313e-05
1555.54, 8.04354e-05
1555.48, 8.05396e-05
1555.42, 8.06438e-05
1555.36, 8.07481e-05
1555.3, 8.08525e-05
1555.24, 8.09569e-05
1555.18, 8.10614e-05
1555.12, 8.1166e-05
1555.06, 8.12706e-05
1555, 8.13753e-05
1554.94, 8.148e-05
1554.88, 8.15849e-05
1554.81, 8.16898e-05
1554.75, 8.17947e-05
1554.69, 8.18998e-05
1554.63, 8.20049e-05
1554.57, 8.211e-05
1554.51, 8.22153e-05
1554.45, 8.23206e-05
1554.39, 8.2426e-05
1554.33, 8.25314e-05
1554.27, 8.26369e-05
1554.21, 8.27425e-05
1554.15, 8.28481e-05
1554.09, 8.29538e-05
1554.03, 8.30596e-05
1553.97, 8.31654e-05
1553.91, 8.32714e-05
1553.85, 8.33773e-05
1553.79, 8.34834e-05
1553.73, 8.35895e-05
1553.67, 8.36957e-05
1553.61, 8.38019e-05
1553.55, 8.39082e-05
1553.49, 8.40146e-05
1553.43, 8.41211e-05
1553.37, 8.43192e-05
1553.31, 8.46057e-05
1553.25, 8.48927e-05
1553.19, 8.51801e-05
1553.13, 8.5468e-05
1553.07, 8.57564e-05
1553.01, 8.60453e-05
1552.95, 8.63347e-05
1552.89, 8.66246e-05
1552.83, 8.6915e-05
1552.76, 8.72058e-05
1552.7, 8.74971e-05
1552.64, 8.77889e-05
1552.58, 8.80812e-05
1552.52, 8.8374e-05
1552.46, 8.86673e-05
1552.4, 8.89611e-05
1552.34, 8.92553e-05
1552.28, 8.955e-05
1552.22, 8.98452e-05
1552.16, 9.01409e-05
1552.1, 9.04371e-05
1552.04, 9.07338e-05
1551.98, 9.1031e-05
1551.92, 9.13286e-05
1551.86, 9.16267e-05
1551.8, 9.19253e-05
1551.74, 9.22244e-05
1551.68, 9.2524e-05
1551.62, 9.28241e-05
1551.56, 9.31247e-05
1551.5, 9.34257e-05
1551.44, 9.37272e-05
1551.38, 9.40293e-05
1551.32, 9.43318e-05
1551.26, 9.46347e-05
1551.2, 9.49382e-05
1551.14, 9.52422e-05
1551.08, 9.55466e-05
1551.02, 9.58516e-05
1550.96, 9.6157e-05
1550.9, 9.64629e-05
1550.84, 9.67693e-05
1550.78, 9.70761e-05
1550.72, 9.73835e-05
1550.66, 9.76913e-05
1550.6, 9.79997e-05
1550.54, 9.83085e-05
1550.48, 9.86178e-05
1550.42, 9.89276e-05
1550.36, 9.92379e-05
1550.3, 9.95486e-05
1550.24, 9.98599e-05
1550.18, 0.000100172
1550.12, 0.000100484
1550.06, 0.000100797
1550, 0.00010111
1549.94, 0.000101423
1549.88, 0.000101738
1549.82, 0.000102052
1549.76, 0.000102367
1549.7, 0.000102683
1549.64, 0.000102999
1549.58, 0.000103316
1549.52, 0.000103633
1549.46, 0.00010395
1549.4, 0.000104268
1549.34, 0.000104587
1549.28, 0.000104906
1549.22, 0.000105225
1549.16, 0.000105545
1549.1, 0.000105866
1549.04, 0.000106187
1548.98, 0.000106508
1548.92, 0.00010683
1548.86, 0.000107153
1548.8, 0.000107476
1548.74, 0.000107799
1548.68, 0.000108123
1548.62, 0.000108447
1548.56, 0.000108772
1548.5, 0.000109213
1548.44, 0.000109709
1548.38, 0.000110208
1548.32, 0.000110719
1548.26, 0.000111231
1548.2, 0.000111757
1548.14, 0.000112297
1548.08, 0.000112838
1548.02, 0.00011338
1547.96, 0.000113924
1547.9, 0.000114469
1547.84, 0.000115015
1547.78, 0.000115563
1547.72, 0.000116111
1547.66, 0.000116662
1547.6, 0.000117213
1547.54, 0.000117766
1547.48, 0.00011832
1547.42, 0.000118875
1547.36, 0.000119432
1547.3, 0.00011999
1547.24, 0.000120549
1547.19, 0.00012111
1547.13, 0.000121672
1547.07, 0.000122235
1547.01, 0.000122799
1546.95, 0.000123365
1546.89, 0.000123932
1546.83, 0.0001245
1546.77, 0.00012507
1546.71, 0.000125641
1546.65, 0.000126213
1546.59, 0.000126787
1546.53, 0.000127362
1546.47, 0.000127938
1546.41, 0.000128515
1546.35, 0.000129094
1546.29, 0.000129674
1546.23, 0.000130255
1546.17, 0.000130838
1546.11, 0.000131422
1546.05, 0.000132007
1545.99, 0.000132594
1545.93, 0.000133182
1545.87, 0.000133771
1545.81, 0.000134361
1545.75, 0.000134953
1545.69, 0.000135546
1545.63, 0.000136141
1545.57, 0.000136736
1545.51, 0.000137333
1545.45, 0.000137931
1545.39, 0.000138531
1545.33, 0.000139132
1545.27, 0.000139734
1545.21, 0.000140337
1545.16, 0.000140942
1545.1, 0.000141548
1545.04, 0.000142156
1544.98, 0.000142764
1544.92, 0.000143374
1544.86, 0.000143986
1544.8, 0.000144598
1544.74, 0.000145212
1544.68, 0.000145827
1544.62, 0.000146444
1544.56, 0.000147061
1544.5, 0.00014768
1544.44, 0.000148301
1544.38, 0.000148923
1544.32, 0.000149545
1544.26, 0.00015017
1544.2, 0.000150795
1544.14, 0.000151422
1544.08, 0.00015205
1544.02, 0.00015268
1543.96, 0.000153311
1543.9, 0.000153943
1543.84, 0.000154576
1543.79, 0.000155211
1543.73, 0.000155847
1543.67, 0.000156484
1543.61, 0.000157123
1543.55, 0.000157762
1543.49, 0.000158404
1543.43, 0.000159046
1543.37, 0.000159795
1543.31, 0.000160597
1543.25, 0.000161401
1543.19, 0.000162207
1543.13, 0.000163015
1543.07, 0.000163825
1543.01, 0.000164637
1542.95, 0.000165451
1542.89, 0.000166267
1542.83, 0.000167085
1542.77, 0.000167906
1542.71, 0.000168728
1542.65, 0.000169552
1542.6, 0.000170378
1542.54, 0.000171206
1542.48, 0.000172036
1542.42, 0.000172869
1542.36, 0.000173703
1542.3, 0.000174539
1542.24, 0.000175377
1542.18, 0.000176217
1542.12, 0.00017706
1542.06, 0.000177904
1542, 0.00017875
1541.94, 0.000179598
1541.88, 0.000180448
1541.82, 0.000181301
1541.76, 0.000182155
1541.7, 0.000183011
1541.65, 0.00018387
1541.59, 0.00018473
1541.53, 0.000185592
1541.47, 0.000186456
1541.41, 0.000187323
1541.35, 0.000188191
1541.29, 0.000189061
1541.23, 0.000189934
1541.17, 0.000190808
1541.11, 0.000191684
1541.05, 0.000192563
1540.99, 0.000193443
1540.93, 0.000194326
1540.87, 0.00019521
1540.81, 0.000196096
1540.76, 0.000196985
1540.7, 0.000197875
1540.64, 0.000198767
1540.58, 0.000199662
1540.52, 0.000200558
1540.46, 0.000201457
1540.4, 0.000202357
1540.34, 0.00020326
1540.28, 0.000204164
1540.22, 0.000205071
1540.16, 0.000205979
1540.1, 0.00020689
1540.04, 0.000207802
1539.99, 0.000208717
1539.93, 0.000209633
1539.87, 0.000210552
1539.81, 0.000211472
1539.75, 0.000212395
1539.69, 0.000213319
1539.63, 0.000214246
1539.57, 0.000215174
1539.51, 0.000216105
1539.45, 0.000217037
1539.39, 0.000217972
1539.33, 0.000218909
1539.27, 0.000219847
1539.22, 0.000220788
1539.16, 0.00022173
1539.1, 0.000222675
1539.04, 0.000223622
1538.98, 0.00022457
1538.92, 0.000225521
1538.86, 0.000226474
1538.8, 0.000227428
1538.74, 0.000228385
1538.68, 0.000229344
1538.62, 0.000230304
1538.56, 0.000231267
1538.51, 0.000232232
1538.45, 0.000233219
1538.39, 0.000234271
1538.33, 0.000235325
1538.27, 0.000236381
1538.21, 0.00023744
1538.15, 0.000238501
1538.09, 0.000239564
1538.03, 0.00024063
1537.97, 0.000241698
1537.91, 0.000242769
1537.86, 0.000243842
1537.8, 0.000244917
1537.74, 0.000245995
1537.68, 0.000247075
1537.62, 0.000248157
1537.56, 0.000249242
1537.5, 0.000250329
1537.44, 0.000251419
1537.38, 0.000252511
1537.32, 0.000253605
1537.27, 0.000254702
1537.21, 0.000255801
1537.15, 0.000256902
1537.09, 0.000258006
1537.03, 0.000259112
1536.97, 0.00026022
1536.91, 0.000261331
1536.85, 0.000262444
1536.79, 0.00026356
1536.73, 0.000264678
1536.68, 0.000265798
1536.62, 0.000266921
1536.56, 0.000268046
1536.5, 0.000269173
1536.44, 0.000270303
1536.38, 0.000271435
1536.32, 0.000272569
1536.26, 0.000273706
1536.2, 0.000274845
1536.14, 0.000275987
1536.09, 0.000277131
1536.03, 0.000278277
1535.97, 0.000279426
1535.91, 0.000280577
1535.85, 0.00028173
1535.79, 0.000282886
1535.73, 0.000284044
1535.67, 0.000285204
1535.61, 0.000286367
1535.56, 0.000287532
1535.5, 0.0002887
1535.44, 0.00028987
1535.38, 0.000291042
1535.32, 0.000292217
1535.26, 0.000293394
1535.2, 0.000294573
1535.14, 0.000295755
1535.08, 0.000296939
1535.03, 0.000298126
1534.97, 0.000299315
1534.91, 0.000300506
1534.85, 0.0003017
1534.79, 0.000302896
1534.73, 0.000304094
1534.67, 0.000305295
1534.61, 0.000306498
1534.56, 0.000307703
1534.5, 0.000308911
1534.44, 0.000310121
1534.38, 0.000311334
1534.32, 0.000312549
1534.26, 0.000313766
1534.2, 0.000314985
1534.14, 0.000316207
1534.09, 0.000317432
1534.03, 0.000318659
1533.97, 0.000319888
1533.91, 0.000321119
1533.85, 0.000322353
1533.79, 0.000323589
1533.73, 0.000324828
1533.67, 0.000326069
1533.62, 0.000327312
1533.56, 0.000328558
1533.5, 0.000329883
1533.44, 0.000331227
1533.38, 0.000332574
1533.32, 0.000333924
1533.26, 0.000335277
1533.2, 0.000336632
1533.15, 0.00033799
1533.09, 0.00033935
1533.03, 0.000340714
1532.97, 0.00034208
1532.91, 0.000343449
1532.85, 0.00034482
1532.79, 0.000346195
1532.73, 0.000347572
1532.68, 0.000348952
1532.62, 0.000350334
1532.56, 0.00035172
1532.5, 0.000353108
1532.44, 0.000354498
1532.38, 0.000355892
1532.32, 0.000357288
1532.27, 0.000358687
1532.21, 0.000360089
1532.15, 0.000361493
1532.09, 0.0003629
1532.03, 0.00036431
1531.97, 0.000365723
1531.91, 0.000367138
1531.85, 0.000368556
1531.8, 0.000369977
1531.74, 0.0003714
1531.68, 0.000372827
1531.62, 0.000374256
1531.56, 0.000375687
1531.5, 0.000377122
1531.44, 0.000378559
1531.39, 0.000379999
1531.33, 0.000381442
1531.27, 0.000382887
1531.21, 0.000384335
1531.15, 0.000385786
1531.09, 0.00038724
1531.03, 0.000388696
1530.98, 0.000390155
1530.92, 0.000391617
1530.86, 0.000393081
1530.8, 0.000394549
1530.74, 0.000396019
1530.68, 0.000397491
1530.63, 0.000398967
1530.57, 0.000400445
1530.51, 0.000401926
1530.45, 0.00040341
1530.39, 0.000404896
1530.33, 0.000406385
1530.27, 0.000407877
1530.22, 0.000409372
1530.16, 0.000410869
1530.1, 0.000412369
1530.04, 0.000413872
1529.98, 0.000415377
1529.92, 0.000416886
1529.87, 0.000418397
1529.81, 0.00041991
1529.75, 0.000421427
1529.69, 0.000422946
1529.63, 0.000424468
1529.57, 0.000425993
1529.51, 0.00042752
1529.46, 0.00042905
1529.4, 0.000430583
1529.34, 0.000432119
1529.28, 0.000433657
1529.22, 0.000435198
1529.16, 0.000436742
1529.11, 0.000438289
1529.05, 0.000439838
1528.99, 0.00044139
1528.93, 0.000442945
1528.87, 0.000444502
1528.81, 0.000446062
1528.76, 0.000447625
1528.7, 0.000449191
1528.64, 0.000450816
1528.58, 0.000452527
1528.52, 0.000454242
1528.46, 0.000455959
1528.41, 0.00045768
1528.35, 0.000459404
1528.29, 0.000461131
1528.23, 0.000462861
1528.17, 0.000464595
1528.11, 0.000466332
1528.06, 0.000468072
1528, 0.000469815
1527.94, 0.000471562
1527.88, 0.000473312
1527.82, 0.000475065
1527.76, 0.000476821
1527.71, 0.000478581
1527.65, 0.000480344
1527.59, 0.00048211
1527.53, 0.000483879
1527.47, 0.000485652
1527.41, 0.000487427
1527.36, 0.000489206
1527.3, 0.000490989
1527.24, 0.000492774
1527.18, 0.000494563
1527.12, 0.000496355
1527.06, 0.00049815
1527.01, 0.000499949
1526.95, 0.00050175
1526.89, 0.000503555
1526.83, 0.000505364
1526.77, 0.000507175
1526.72, 0.00050899
1526.66, 0.000510808
1526.6, 0.000512629
1526.54, 0.000514453
1526.48, 0.000516281
1526.42, 0.000518112
1526.37, 0.000519946
1526.31, 0.000521783
1526.25, 0.000523624
1526.19, 0.000525468
1526.13, 0.000527315
1526.08, 0.000529165
1526.02, 0.000531019
1525.96, 0.000532875
1525.9, 0.000534735
1525.84, 0.000536599
1525.78, 0.000538465
1525.73, 0.000540335
1525.67, 0.000542208
1525.61, 0.000544084
1525.55, 0.000545964
1525.49, 0.000547846
1525.44, 0.000549732
1525.38, 0.000551622
1525.32, 0.000553514
1525.26, 0.00055541
1525.2, 0.000557309
1525.15, 0.000559211
1525.09, 0.000561116
1525.03, 0.000563025
1524.97, 0.000564937
1524.91, 0.000566852
1524.85, 0.00056877
1524.8, 0.000570692
1524.74, 0.000572617
1524.68, 0.000574545
1524.62, 0.000576476
1524.56, 0.000578411
1524.51, 0.000580349
1524.45, 0.00058229
1524.39, 0.000584234
1524.33, 0.000586182
1524.27, 0.000588132
1524.22, 0.000590086
1524.16, 0.000592044
1524.1, 0.000594004
1524.04, 0.000595968
1523.98, 0.000597935
1523.93, 0.000599905
1523.87, 0.000601879
1523.81, 0.000603855
1523.75, 0.000605817
1523.69, 0.000607782
1523.64, 0.00060975
1523.58, 0.000611721
1523.52, 0.000613695
1523.46, 0.000615673
1523.4, 0.000617653
1523.35, 0.000619637
1523.29, 0.000621624
1523.23, 0.000623615
1523.17, 0.000625608
1523.11, 0.000627605
1523.06, 0.000629604
1523, 0.000631607
1522.94, 0.000633613
1522.88, 0.000635623
1522.82, 0.000637635
1522.77, 0.000639651
1522.71, 0.00064167
1522.65, 0.000643692
1522.59, 0.000645717
1522.54, 0.000647746
1522.48, 0.000649777
1522.42, 0.000651812
1522.36, 0.00065385
1522.3, 0.000655891
1522.25, 0.000657935
1522.19, 0.000659983
1522.13, 0.000662033
1522.07, 0.000664087
1522.01, 0.000666144
1521.96, 0.000668204
1521.9, 0.000670268
1521.84, 0.000672334
1521.78, 0.000674404
1521.73, 0.000676477
1521.67, 0.000678553
1521.61, 0.000680633
1521.55, 0.000682715
1521.49, 0.000684801
1521.44, 0.00068689
1521.38, 0.000688982
1521.32, 0.000691077
1521.26, 0.000693175
1521.21, 0.000695277
1521.15, 0.000697381
1521.09, 0.000699489
1521.03, 0.0007016
1520.97, 0.000703715
1520.92, 0.000705832
1520.86, 0.000707953
1520.8, 0.000710077
1520.74, 0.000712204
1520.69, 0.000714334
1520.63, 0.000716467
